# Integration weights for the "1d Gauss, m=80" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
2.749575470886964180e-05 9.154492597169504586e-01 4.928020942338962040e-03 7.962271934071052382e-02
2.878861354695188098e-05 9.046946483213085255e-01 4.870127017993219898e-03 9.043522466069831012e-02
2.997970491033067711e-05 8.933272825628091329e-01 4.808934531438102677e-03 1.018637829057527089e-01
3.106576403688688704e-05 8.813642600270259475e-01 4.744535521919834853e-03 1.138912044510543287e-01
3.204404463206789167e-05 8.688235742270679074e-01 4.677026851616694625e-03 1.264993989213153425e-01
3.291232969070823886e-05 8.557240875387021051e-01 4.606510059944224356e-03 1.396694024013537261e-01
3.366893931489369911e-05 8.420855028289226940e-01 4.533091210827011608e-03 1.533814059602503499e-01
3.431273548898313856e-05 8.279283338205403187e-01 4.456880733165857755e-03 1.676147854462938236e-01
3.484312379099412305e-05 8.132738742372926932e-01 4.377993254741086027e-03 1.823481325079662763e-01
3.526005203772525516e-05 7.981441657758467922e-01 4.296547429799846274e-03 1.975592867943534170e-01
3.556400587914091088e-05 7.825619649528383626e-01 4.212665760588318875e-03 2.132253692865733741e-01
3.575600137559466028e-05 7.665507088767944399e-01 4.126474413095937432e-03 2.293228167101095671e-01
3.583757460928870128e-05 7.501344799964113630e-01 4.038103027289408065e-03 2.458274169762993400e-01
3.581076839887112020e-05 7.333379698781988809e-01 3.947684522121408524e-03 2.627143455996797661e-01
3.567811620315502168e-05 7.161864420679715515e-01 3.855354895607732146e-03 2.799582030364207164e-01
3.544262331648913907e-05 6.987056940920376435e-01 3.761253020272969927e-03 2.975330528876893865e-01
3.510774547423843188e-05 6.809220186552396026e-01 3.665520434273206174e-03 3.154124609104871357e-01
3.467736500203586603e-05 6.628621640942071735e-01 3.568301128508644116e-03 3.335695347772842378e-01
3.415576465685834731e-05 6.445532941452988274e-01 3.469741330047848571e-03 3.519769645246533241e-01
3.354759932147557429e-05 6.260229470877495261e-01 3.369989282188123880e-03 3.706070636300623500e-01
